Manitou	Athlétisme, Persuasion	Fierté VS Rêve	Dodaem
Cheeby-Aub-Oozoo	Chasseur, Justicier, Liminal	Arts (Chant, Musique), Animal (Loup), Ténèbres, Mort, Vigueur, Ordre	
Geezhigo-Quae	Gardien, Guérisseur, Sage	Animal (Grue, Tortue), Lune, Ordre, Ciel, Étoiles	
Ioskeha	Géniteur, Meneur, Guerrier,	Forge, Soleil, Ciel, Ordre, Animal (mammifères diurnes, oiseaux, insectes, poisson), Santé, Passion (toutes émotions positives)	
Kitchi-Manitou	Géniteur, Justicier, Sage	Ténèbres, Forge, Fortune, Richesse, Étoiles, Soleil	Kitchi-Manitou ne crée que des Scions Élus, leur venant en rêve et les menant à leur But.
Maudjee-Kawiss	Chasseur, Meneur, Guerrier	Animal (Ours, Aigle), DEX, FOR, Guerre	
Muzzu-Kumik-Quae	Guérisseur, Chasseur, Sage	Animal (tous), Terre, Fertilité, Ciel, Eau	
Nana’B’Oozoo/Wisakedjak	Chasseur, Filou	Animal (Lapin, Loup pour Wisakedjak), Chaos/Eau (pour Wisakedjak), DEX, Fortune, Voyages	
Pukawiss	Amant, Sage, Filou	Arts (Danse, Théâtre, Narration), Tromperie, DEX, Fortune, Passion (toutes)	
Tawiscara	Géniteur, Filou, Guerrier	Chaos, Tromperie, Ténèbres, Mort, Passion (toutes émotions négatives), Forge, Guerre	
Winonah	Gardien, Guérisseur, Amant	Vigueur, Fortune, Santé, Passion (toutes), Richesse	
